series_id        	year	period	       value	footnote_codes
CES9000000001    	1939	M01	        3988	
CES9000000001    	1939	M02	        4001	
CES9000000001    	1939	M03	        4002	
CES9000000001    	1939	M04	        4002	
CES9000000001    	1939	M05	        4006	
CES9000000001    	1939	M06	        4003	
CES9000000001    	1939	M07	        4019	
CES9000000001    	1939	M08	        4046	
CES9000000001    	1939	M09	        4076	
CES9000000001    	1939	M10	        4089	
CES9000000001    	1939	M11	        4109	
CES9000000001    	1939	M12	        4134	
CES9000000001    	1940	M01	        4150	
CES9000000001    	1940	M02	        4150	
CES9000000001    	1940	M03	        4151	
CES9000000001    	1940	M04	        4152	
CES9000000001    	1940	M05	        4172	
CES9000000001    	1940	M06	        4218	
CES9000000001    	1940	M07	        4261	
CES9000000001    	1940	M08	        4282	
CES9000000001    	1940	M09	        4312	
CES9000000001    	1940	M10	        4353	
CES9000000001    	1940	M11	        4396	
CES9000000001    	1940	M12	        4415	
CES9000000001    	1941	M01	        4468	
CES9000000001    	1941	M02	        4504	
CES9000000001    	1941	M03	        4535	
CES9000000001    	1941	M04	        4585	
CES9000000001    	1941	M05	        4642	
CES9000000001    	1941	M06	        4701	
CES9000000001    	1941	M07	        4750	
CES9000000001    	1941	M08	        4821	
CES9000000001    	1941	M09	        4891	
CES9000000001    	1941	M10	        4907	
CES9000000001    	1941	M11	        4949	
CES9000000001    	1941	M12	        4971	
CES9000000001    	1942	M01	        5089	
CES9000000001    	1942	M02	        5146	
CES9000000001    	1942	M03	        5257	
CES9000000001    	1942	M04	        5357	
CES9000000001    	1942	M05	        5431	
CES9000000001    	1942	M06	        5510	
CES9000000001    	1942	M07	        5591	
CES9000000001    	1942	M08	        5814	
CES9000000001    	1942	M09	        5866	
CES9000000001    	1942	M10	        5956	
CES9000000001    	1942	M11	        6026	
CES9000000001    	1942	M12	        6072	
CES9000000001    	1943	M01	        6132	
CES9000000001    	1943	M02	        6223	
CES9000000001    	1943	M03	        6257	
CES9000000001    	1943	M04	        6267	
CES9000000001    	1943	M05	        6281	
CES9000000001    	1943	M06	        6324	
CES9000000001    	1943	M07	        6257	
CES9000000001    	1943	M08	        6151	
CES9000000001    	1943	M09	        6167	
CES9000000001    	1943	M10	        6170	
CES9000000001    	1943	M11	        6179	
CES9000000001    	1943	M12	        6271	
CES9000000001    	1944	M01	        6162	
CES9000000001    	1944	M02	        6129	
CES9000000001    	1944	M03	        6113	
CES9000000001    	1944	M04	        6112	
CES9000000001    	1944	M05	        6121	
CES9000000001    	1944	M06	        6147	
CES9000000001    	1944	M07	        6190	
CES9000000001    	1944	M08	        6204	
CES9000000001    	1944	M09	        6216	
CES9000000001    	1944	M10	        6223	
CES9000000001    	1944	M11	        6263	
CES9000000001    	1944	M12	        6375	
CES9000000001    	1945	M01	        6254	
CES9000000001    	1945	M02	        6239	
CES9000000001    	1945	M03	        6216	
CES9000000001    	1945	M04	        6185	
CES9000000001    	1945	M05	        6159	
CES9000000001    	1945	M06	        6181	
CES9000000001    	1945	M07	        6185	
CES9000000001    	1945	M08	        6135	
CES9000000001    	1945	M09	        5942	
CES9000000001    	1945	M10	        5854	
CES9000000001    	1945	M11	        5830	
CES9000000001    	1945	M12	        5811	
CES9000000001    	1946	M01	        5785	
CES9000000001    	1946	M02	        5778	
CES9000000001    	1946	M03	        5758	
CES9000000001    	1946	M04	        5761	
CES9000000001    	1946	M05	        5732	
CES9000000001    	1946	M06	        5680	
CES9000000001    	1946	M07	        5682	
CES9000000001    	1946	M08	        5681	
CES9000000001    	1946	M09	        5669	
CES9000000001    	1946	M10	        5664	
CES9000000001    	1946	M11	        5639	
CES9000000001    	1946	M12	        5628	
CES9000000001    	1947	M01	        5619	
CES9000000001    	1947	M02	        5606	
CES9000000001    	1947	M03	        5588	
CES9000000001    	1947	M04	        5558	
CES9000000001    	1947	M05	        5551	
CES9000000001    	1947	M06	        5524	
